gauntlet: agent@engine vs sf_agent@tests | 100 pairs (200 games) | 10000ms+100ms | 3 workers
 106 games  +42 =53 -11   +105 Elo +/- 47   773s   
 107 games  +42 =54 -11   +104 Elo +/- 46   789s   
 108 games  +42 =55 -11   +103 Elo +/- 46   789s   
 109 games  +42 =55 -12   +98 Elo +/- 46   793s   
 110 games  +43 =55 -12   +101 Elo +/- 46   808s   
 111 games  +43 =56 -12   +100 Elo +/- 46   814s   
 112 games  +44 =56 -12   +102 Elo +/- 46   816s   
 113 games  +44 =57 -12   +101 Elo +/- 45   836s   
 114 games  +44 =57 -13   +97 Elo +/- 45   837s   
 115 games  +45 =57 -13   +99 Elo +/- 45   840s   
 116 games  +46 =57 -13   +102 Elo +/- 45   851s   
 117 games  +47 =57 -13   +104 Elo +/- 45   851s   
 118 games  +47 =57 -14   +100 Elo +/- 45   867s   
 119 games  +47 =58 -14   +99 Elo +/- 45   874s   
 120 games  +47 =59 -14   +98 Elo +/- 45   878s   
 121 games  +48 =59 -14   +100 Elo +/- 45   899s   
 122 games  +48 =60 -14   +99 Elo +/- 44   903s   
 123 games  +48 =60 -15   +96 Elo +/- 44   904s   
 124 games  +48 =61 -15   +95 Elo +/- 44   912s   
 125 games  +49 =61 -15   +97 Elo +/- 44   920s   
 126 games  +49 =61 -16   +93 Elo +/- 44   930s   
 127 games  +49 =62 -16   +92 Elo +/- 43   936s   
 128 games  +49 =63 -16   +92 Elo +/- 43   943s   
 129 games  +50 =63 -16   +94 Elo +/- 43   952s   
 130 games  +50 =64 -16   +93 Elo +/- 43   952s   
 131 games  +51 =64 -16   +95 Elo +/- 43   957s   
 132 games  +52 =64 -16   +97 Elo +/- 43   965s   
 133 games  +52 =65 -16   +96 Elo +/- 42   977s   
 134 games  +52 =66 -16   +96 Elo +/- 42   982s   
 135 games  +53 =66 -16   +98 Elo +/- 42   990s   
 136 games  +53 =67 -16   +97 Elo +/- 42   997s   
 137 games  +54 =67 -16   +99 Elo +/- 42   1000s   
 138 games  +55 =67 -16   +101 Elo +/- 42   1012s   
 139 games  +55 =68 -16   +100 Elo +/- 41   1018s   
 140 games  +55 =69 -16   +99 Elo +/- 41   1019s   
 141 games  +55 =70 -16   +99 Elo +/- 41   1028s   
 142 games  +56 =70 -16   +101 Elo +/- 41   1037s   
 143 games  +56 =71 -16   +100 Elo +/- 41   1046s   
 144 games  +56 =72 -16   +99 Elo +/- 40   1059s   
 145 games  +56 =72 -17   +96 Elo +/- 40   1065s   
 146 games  +56 =73 -17   +95 Elo +/- 40   1066s   
 147 games  +56 =74 -17   +94 Elo +/- 40   1080s   
 148 games  +56 =75 -17   +94 Elo +/- 39   1086s   
 149 games  +56 =76 -17   +93 Elo +/- 39   1090s   
 150 games  +57 =76 -17   +95 Elo +/- 39   1105s   
 151 games  +57 =77 -17   +94 Elo +/- 39   1110s   
