teams: 427
  team 154/427  games=4395  distinct FENs=308
  team 155/427  games=4425  distinct FENs=308
  team 156/427  games=4455  distinct FENs=308
  team 157/427  games=4485  distinct FENs=308
  team 158/427  games=4515  distinct FENs=308
  team 159/427  games=4519  distinct FENs=308
  team 160/427  games=4549  distinct FENs=308
  team 161/427  games=4579  distinct FENs=308
  team 162/427  games=4609  distinct FENs=308
  team 163/427  games=4628  distinct FENs=308
  team 164/427  games=4658  distinct FENs=308
  team 165/427  games=4662  distinct FENs=308
  team 166/427  games=4692  distinct FENs=308
  team 167/427  games=4722  distinct FENs=308
  team 168/427  games=4752  distinct FENs=308
  team 169/427  games=4782  distinct FENs=308
  team 170/427  games=4807  distinct FENs=308
  team 171/427  games=4837  distinct FENs=308
  team 172/427  games=4867  distinct FENs=308
  team 173/427  games=4897  distinct FENs=308
  team 174/427  games=4927  distinct FENs=308
  team 175/427  games=4957  distinct FENs=308
  team 176/427  games=4975  distinct FENs=308
  team 177/427  games=5005  distinct FENs=308
  team 178/427  games=5035  distinct FENs=308
  team 179/427  games=5042  distinct FENs=308
  team 180/427  games=5072  distinct FENs=308
  team 181/427  games=5102  distinct FENs=308
  team 182/427  games=5132  distinct FENs=308
  team 183/427  games=5162  distinct FENs=308
  team 184/427  games=5192  distinct FENs=308
  team 185/427  games=5222  distinct FENs=308
  team 186/427  games=5252  distinct FENs=308
  team 187/427  games=5254  distinct FENs=308
  team 188/427  games=5284  distinct FENs=308
  team 189/427  games=5314  distinct FENs=308
  team 190/427  games=5344  distinct FENs=308
  team 191/427  games=5374  distinct FENs=308
  team 192/427  games=5404  distinct FENs=308
  team 193/427  games=5434  distinct FENs=308
  team 194/427  games=5464  distinct FENs=308
  team 195/427  games=5494  distinct FENs=308
  team 196/427  games=5524  distinct FENs=308
  team 197/427  games=5554  distinct FENs=308
  team 198/427  games=5584  distinct FENs=308
  team 199/427  games=5614  distinct FENs=308
  team 200/427  games=5644  distinct FENs=308
  team 201/427  games=5657  distinct FENs=308
  team 202/427  games=5687  distinct FENs=308
  team 203/427  games=5717  distinct FENs=308
  team 204/427  games=5747  distinct FENs=308
  team 205/427  games=5777  distinct FENs=308
  team 206/427  games=5807  distinct FENs=308
  team 207/427  games=5821  distinct FENs=308
   game 2dd18760 failed: 'charmap' codec can't encode character '\u03c0' in position 3890: character maps to <undefined>
  team 208/427  games=5850  distinct FENs=308
  team 209/427  games=5867  distinct FENs=308
  team 210/427  games=5897  distinct FENs=308
  team 211/427  games=5923  distinct FENs=308
  team 212/427  games=5953  distinct FENs=308
  team 213/427  games=5983  distinct FENs=308
  team 214/427  games=6013  distinct FENs=308
  team 215/427  games=6043  distinct FENs=308
  team 216/427  games=6073  distinct FENs=308
  team 217/427  games=6103  distinct FENs=308
  team 218/427  games=6133  distinct FENs=308
  team 219/427  games=6163  distinct FENs=308
  team 220/427  games=6193  distinct FENs=308
  team 221/427  games=6223  distinct FENs=308
  team 222/427  games=6253  distinct FENs=308
  team 223/427  games=6275  distinct FENs=308
  team 224/427  games=6305  distinct FENs=308
  team 225/427  games=6335  distinct FENs=308
  team 226/427  games=6365  distinct FENs=308
