gauntlet: agent@engine vs sf_agent@tests | 100 pairs (200 games) | 10000ms+100ms | 3 workers
 105 games  +49 =40 -16   +113 Elo +/- 54   721s   
 106 games  +49 =41 -16   +112 Elo +/- 53   729s   
 107 games  +49 =42 -16   +111 Elo +/- 53   733s   
 108 games  +50 =42 -16   +113 Elo +/- 53   738s   
 109 games  +50 =43 -16   +112 Elo +/- 52   745s   
 110 games  +51 =43 -16   +115 Elo +/- 52   751s   
 111 games  +51 =44 -16   +113 Elo +/- 51   757s   
 112 games  +52 =44 -16   +116 Elo +/- 51   761s   
 113 games  +53 =44 -16   +118 Elo +/- 51   781s   
 114 games  +53 =44 -17   +114 Elo +/- 51   782s   
 115 games  +53 =44 -18   +109 Elo +/- 51   791s   
 116 games  +54 =44 -18   +112 Elo +/- 51   794s   
 117 games  +54 =45 -18   +110 Elo +/- 51   799s   
 118 games  +54 =46 -18   +109 Elo +/- 50   804s   
 119 games  +54 =47 -18   +109 Elo +/- 50   807s   
 120 games  +55 =47 -18   +111 Elo +/- 50   812s   
 121 games  +55 =47 -19   +107 Elo +/- 50   826s   
 122 games  +55 =48 -19   +106 Elo +/- 49   828s   
 123 games  +55 =49 -19   +105 Elo +/- 49   829s   
 124 games  +55 =50 -19   +104 Elo +/- 48   837s   
 125 games  +55 =51 -19   +103 Elo +/- 48   841s   
 126 games  +55 =51 -20   +99 Elo +/- 48   854s   
 127 games  +55 =51 -21   +95 Elo +/- 48   860s   
 128 games  +56 =51 -21   +97 Elo +/- 48   866s   
 129 games  +56 =51 -22   +94 Elo +/- 47   868s   
 130 games  +56 =52 -22   +93 Elo +/- 47   884s   
 131 games  +56 =52 -23   +89 Elo +/- 47   889s   
 132 games  +57 =52 -23   +92 Elo +/- 47   894s   
 133 games  +57 =53 -23   +91 Elo +/- 47   908s   
 134 games  +58 =53 -23   +93 Elo +/- 47   909s   
 135 games  +58 =54 -23   +92 Elo +/- 46   912s   
 136 games  +59 =54 -23   +94 Elo +/- 46   920s   
 137 games  +59 =55 -23   +93 Elo +/- 46   928s   
 138 games  +59 =56 -23   +93 Elo +/- 45   931s   
 139 games  +59 =57 -23   +92 Elo +/- 45   939s   
 140 games  +60 =57 -23   +94 Elo +/- 45   944s   
 141 games  +61 =57 -23   +96 Elo +/- 45   946s   
 142 games  +62 =57 -23   +98 Elo +/- 45   952s   
 143 games  +63 =57 -23   +100 Elo +/- 45   964s   
 144 games  +64 =57 -23   +102 Elo +/- 45   970s   
 145 games  +64 =57 -24   +98 Elo +/- 45   979s   
 146 games  +64 =58 -24   +98 Elo +/- 45   984s   
 147 games  +64 =59 -24   +97 Elo +/- 44   989s   
 148 games  +64 =60 -24   +96 Elo +/- 44   999s   
 149 games  +65 =60 -24   +98 Elo +/- 44   1003s   
 150 games  +65 =60 -25   +95 Elo +/- 44   1009s   
 151 games  +65 =61 -25   +94 Elo +/- 43   1023s   
 152 games  +65 =61 -26   +91 Elo +/- 43   1026s   
 153 games  +66 =61 -26   +93 Elo +/- 43   1035s   
 154 games  +66 =62 -26   +92 Elo +/- 43   1035s   
 155 games  +66 =63 -26   +92 Elo +/- 43   1041s   
 156 games  +67 =63 -26   +94 Elo +/- 43   1058s   
 157 games  +67 =64 -26   +93 Elo +/- 42   1059s   
 158 games  +67 =65 -26   +92 Elo +/- 42   1064s   
 159 games  +67 =66 -26   +92 Elo +/- 42   1073s   
 160 games  +67 =67 -26   +91 Elo +/- 42   1077s   
 161 games  +67 =68 -26   +90 Elo +/- 41   1078s   
 162 games  +67 =68 -27   +88 Elo +/- 41   1092s   
 163 games  +68 =68 -27   +89 Elo +/- 41   1093s   
 164 games  +68 =69 -27   +89 Elo +/- 41   1107s   
 165 games  +69 =69 -27   +90 Elo +/- 41   1113s   
 166 games  +69 =70 -27   +90 Elo +/- 41   1117s   
 167 games  +69 =71 -27   +89 Elo +/- 40   1125s   
 168 games  +69 =72 -27   +89 Elo +/- 40   1127s   
 169 games  +69 =73 -27   +88 Elo +/- 40   1139s   
 170 games  +70 =73 -27   +90 Elo +/- 40   1139s   
 171 games  +70 =73 -28   +87 Elo +/- 40   1154s   
 172 games  +70 =74 -28   +87 Elo +/- 40   1155s   
 173 games  +70 =75 -28   +86 Elo +/- 39   1157s   
 174 games  +70 =76 -28   +86 Elo +/- 39   1164s   
 175 games  +71 =76 -28   +87 Elo +/- 39   1174s   
 176 games  +71 =76 -29   +85 Elo +/- 39   1182s   
 177 games  +71 =77 -29   +84 Elo +/- 39   1189s   
 178 games  +72 =77 -29   +86 Elo +/- 39   1197s   
 179 games  +72 =77 -30   +83 Elo +/- 39   1205s   
 180 games  +72 =78 -30   +83 Elo +/- 39   1214s   
 181 games  +72 =79 -30   +82 Elo +/- 38   1221s   
 182 games  +72 =79 -31   +80 Elo +/- 38   1228s   
 183 games  +72 =79 -32   +77 Elo +/- 38   1229s   
 184 games  +72 =80 -32   +77 Elo +/- 38   1245s   
 185 games  +73 =80 -32   +78 Elo +/- 38   1246s   
 186 games  +74 =80 -32   +80 Elo +/- 38   1248s   
 187 games  +75 =80 -32   +81 Elo +/- 38   1261s   
 188 games  +76 =80 -32   +83 Elo +/- 38   1269s   
 189 games  +76 =80 -33   +80 Elo +/- 38   1272s   
 190 games  +76 =81 -33   +80 Elo +/- 38   1277s   
 191 games  +76 =82 -33   +80 Elo +/- 38   1297s   
 192 games  +76 =82 -34   +77 Elo +/- 38   1305s   
 193 games  +77 =82 -34   +79 Elo +/- 38   1318s   
 194 games  +77 =83 -34   +78 Elo +/- 37   1323s   
 195 games  +77 =84 -34   +78 Elo +/- 37   1340s   
 196 games  +77 =85 -34   +77 Elo +/- 37   1347s   
 197 games  +78 =85 -34   +79 Elo +/- 37   1359s   
 198 games  +78 =85 -35   +77 Elo +/- 37   1360s   
 199 games  +79 =85 -35   +78 Elo +/- 37   1379s   
 200 games  +79 =85 -36   +76 Elo +/- 37   1401s   

=== FINAL ===
+79 =85 -36  out of 200   score 60.8%   +76 Elo +/- 37
no crashes, illegal moves, or flags
